year,country,suicides_no,population,"Suicide Rate per 100,000 Population",CapitalLatitude,CapitalLongitude,ContinentName
1985,Austria,2091,7110115,29.40880703,48.2,16.366667,Europe
1985,Belgium,2281,9269600,24.60731855,50.83333333,4.333333,Europe
1985,Bulgaria,1456,8392500,17.34882335,42.68333333,23.316667,Europe
1985,France,12501,51382600,24.32924764,48.86666667,2.333333,Europe
1985,Greece,405,7859800,5.15280287,37.98333333,23.733333,Europe
1985,Iceland,32,131600,24.31610942,64.15,-21.95,Europe
1985,Ireland,276,2865900,9.630482571,53.31666667,-6.233333,Europe
1985,Italy,4759,54114700,8.794283254,41.9,12.483333,Europe
1985,Luxembourg,55,286000,19.23076923,49.6,6.116667,Europe
1985,Malta,2,45800,4.366812227,35.88333333,14.5,Europe
1985,Netherlands,1638,13618300,12.027933,52.35,4.916667,Europe
1985,Portugal,983,9313930,10.55408404,38.71666667,-9.133333,Europe
1985,Spain,2514,35997000,6.983915326,40.4,-3.683333,Europe
1985,United Kingdom,5105,53006535,9.630887965,51.5,-0.083333,Europe
1986,Austria,2139,7119149,30.04572597,48.2,16.366667,Europe
1986,Belgium,2202,9287100,23.71030785,50.83333333,4.333333,Europe
1986,Bulgaria,1408,8391500,16.77888339,42.68333333,23.316667,Europe
1986,France,12529,51637600,24.2633275,48.86666667,2.333333,Europe
1986,Greece,393,7922600,4.960492768,37.98333333,23.733333,Europe
1986,Iceland,37,201700,18.34407536,64.15,-21.95,Europe
1986,Ireland,282,2875300,9.807672243,53.31666667,-6.233333,Europe
1986,Italy,4691,54267500,8.644216151,41.9,12.483333,Europe
1986,Luxembourg,51,276800,18.42485549,49.6,6.116667,Europe
1986,Malta,1,27700,3.610108303,35.88333333,14.5,Europe
1986,Netherlands,1604,13695500,11.71187616,52.35,4.916667,Europe
1986,Norway,579,3636600,15.9214651,59.91666667,10.75,Europe
1986,Portugal,941,9349248,10.06498063,38.71666667,-9.133333,Europe
1986,Spain,2755,36223000,7.605664909,40.4,-3.683333,Europe
1986,United Kingdom,4839,53119533,9.10964334,51.5,-0.083333,Europe
1987,Austria,2069,7130006,29.0182084,48.2,16.366667,Europe
1987,Belgium,2238,8691600,25.74899903,50.83333333,4.333333,Europe
1987,Bulgaria,1492,8375400,17.81407455,42.68333333,23.316667,Europe
1987,Finland,1363,4304400,31.66527274,60.16666667,24.933333,Europe
1987,France,12161,51900800,23.43123805,48.86666667,2.333333,Europe
1987,Greece,410,9387400,4.367556512,37.98333333,23.733333,Europe
1987,Iceland,36,177500,20.28169014,64.15,-21.95,Europe
1987,Ireland,245,2871100,8.533314757,53.31666667,-6.233333,Europe
1987,Italy,4516,54424100,8.297794543,41.9,12.483333,Europe
1987,Luxembourg,74,307900,24.0337772,49.6,6.116667,Europe
1987,Malta,1,5300,18.86792453,35.88333333,14.5,Europe
1987,Netherlands,1616,13777000,11.72969442,52.35,4.916667,Europe
1987,Norway,649,3929500,16.5160962,59.91666667,10.75,Europe
1987,Portugal,960,9378989,10.2356448,38.71666667,-9.133333,Europe
1987,Spain,2804,36425700,7.697861675,40.4,-3.683333,Europe
1987,Sweden,1541,7414300,20.78416034,59.33333333,18.05,Europe
1987,Ukraine,10050,47374200,21.21407855,50.43333333,30.516667,Europe
1987,United Kingdom,4594,53239668,8.628904297,51.5,-0.083333,Europe
1988,Austria,1851,7144410,25.90836752,48.2,16.366667,Europe
1988,Belgium,1996,9319300,21.41791765,50.83333333,4.333333,Europe
1988,Bulgaria,1452,8389800,17.3067296,42.68333333,23.316667,Europe
1988,Finland,1402,4633600,30.25725138,60.16666667,24.933333,Europe
1988,France,11599,52157600,22.23836986,48.86666667,2.333333,Europe
1988,Greece,403,7996200,5.03989395,37.98333333,23.733333,Europe
1988,Iceland,35,161100,21.72563625,64.15,-21.95,Europe
1988,Ireland,266,2540300,10.47120419,53.31666667,-6.233333,Europe
1988,Italy,4381,54579700,8.026793845,41.9,12.483333,Europe
1988,Luxembourg,69,284500,24.25307557,49.6,6.116667,Europe
1988,Malta,9,126700,7.103393844,35.88333333,14.5,Europe
1988,Netherlands,1523,13855700,10.99186616,52.35,4.916667,Europe
1988,Norway,708,3946600,17.93949222,59.91666667,10.75,Europe
1988,Portugal,819,9400481,8.712320146,38.71666667,-9.133333,Europe
1988,Spain,2960,36597300,8.088028352,40.4,-3.683333,Europe
1988,Sweden,1590,7930900,20.04816603,59.33333333,18.05,Europe
1988,Ukraine,9751,47549900,20.50687804,50.43333333,30.516667,Europe
1988,United Kingdom,4971,53310780,9.324568127,51.5,-0.083333,Europe
1989,Austria,1898,6740550,28.15793963,48.2,16.366667,Europe
1989,Belgium,1920,9349200,20.53651649,50.83333333,4.333333,Europe
1989,Bulgaria,1460,8403200,17.37433359,42.68333333,23.316667,Europe
1989,Finland,1413,4336200,32.58613533,60.16666667,24.933333,Europe
1989,France,11715,52417900,22.34923566,48.86666667,2.333333,Europe
1989,Greece,383,8828800,4.33807539,37.98333333,23.733333,Europe
1989,Iceland,22,136200,16.15271659,64.15,-21.95,Europe
1989,Ireland,278,2537900,10.9539383,53.31666667,-6.233333,Europe
1989,Italy,4342,54697200,7.938249124,41.9,12.483333,Europe
