year,age,suicides_no
1985,15-24 years,2875
1985,25-34 years,4799
1985,35-54 years,10311
1985,5-14 years,118
1985,55-74 years,10827
1985,75+ years,5168
1986,15-24 years,2983
1986,25-34 years,4905
1986,35-54 years,10596
1986,5-14 years,139
1986,55-74 years,10639
1986,75+ years,5189
1987,15-24 years,3841
1987,25-34 years,7003
1987,35-54 years,15250
1987,5-14 years,211
1987,55-74 years,13876
1987,75+ years,6638
1988,15-24 years,3979
1988,25-34 years,6998
1988,35-54 years,14905
1988,5-14 years,221
1988,55-74 years,13133
1988,75+ years,6549
1989,15-24 years,7615
1989,25-34 years,15272
1989,35-54 years,30498
1989,5-14 years,535
1989,55-74 years,22932
1989,75+ years,9866
1990,15-24 years,9699
1990,25-34 years,18945
1990,35-54 years,39161
1990,5-14 years,604
1990,55-74 years,28797
1990,75+ years,13116
1991,15-24 years,9793
1991,25-34 years,19369
1991,35-54 years,41943
1991,5-14 years,688
1991,55-74 years,30422
1991,75+ years,13137
1992,15-24 years,10470
1992,25-34 years,21040
1992,35-54 years,46841
1992,5-14 years,724
1992,55-74 years,32676
1992,75+ years,12751
1993,15-24 years,11648
1993,25-34 years,22667
1993,35-54 years,52025
1993,5-14 years,842
1993,55-74 years,35444
1993,75+ years,12538
1994,15-24 years,12870
1994,25-34 years,23873
1994,35-54 years,55271
1994,5-14 years,816
1994,55-74 years,37683
1994,75+ years,12429
1995,15-24 years,14051
1995,25-34 years,23889
1995,35-54 years,57599
1995,5-14 years,862
1995,55-74 years,39382
1995,75+ years,12796
1996,15-24 years,13743
1996,25-34 years,23136
1996,35-54 years,56114
1996,5-14 years,799
1996,55-74 years,38754
1996,75+ years,12352
1997,15-24 years,13279
1997,25-34 years,21166
1997,35-54 years,51538
1997,5-14 years,737
1997,55-74 years,36876
1997,75+ years,12242
1998,15-24 years,13140
1998,25-34 years,20268
1998,35-54 years,50478
1998,5-14 years,733
1998,55-74 years,35562
1998,75+ years,12091
1999,15-24 years,14336
1999,25-34 years,21077
1999,35-54 years,55385
1999,5-14 years,881
1999,55-74 years,37246
1999,75+ years,12330
2000,15-24 years,14606
2000,25-34 years,21325
2000,35-54 years,56765
2000,5-14 years,924
2000,55-74 years,35679
2000,75+ years,12522
2001,15-24 years,14717
2001,25-34 years,21092
2001,35-54 years,56534
2001,5-14 years,918
2001,55-74 years,33917
2001,75+ years,12366
2002,15-24 years,14287
2002,25-34 years,21034
2002,35-54 years,55188
2002,5-14 years,777
2002,55-74 years,33572
2002,75+ years,12738
2003,15-24 years,13540
2003,25-34 years,19838
2003,35-54 years,53560
2003,5-14 years,679
2003,55-74 years,32395
2003,75+ years,13091
2004,15-24 years,12788
2004,25-34 years,18535
2004,35-54 years,49952
2004,5-14 years,668
2004,55-74 years,29892
2004,75+ years,12529
2005,15-24 years,12030
2005,25-34 years,17995
2005,35-54 years,46623
2005,5-14 years,543
2005,55-74 years,29256
2005,75+ years,12463
2006,15-24 years,11385
2006,25-34 years,17106
2006,35-54 years,43197
2006,5-14 years,511
2006,55-74 years,27791
2006,75+ years,12464
2007,15-24 years,11750
2007,25-34 years,17478
2007,35-54 years,42175
2007,5-14 years,536
2007,55-74 years,27669
2007,75+ years,12906
2008,15-24 years,11382
2008,25-34 years,16999
2008,35-54 years,41752
2008,5-14 years,484
2008,55-74 years,27776
2008,75+ years,13003
2009,15-24 years,11372
2009,25-34 years,17642
2009,35-54 years,42786
2009,5-14 years,565
2009,55-74 years,28534
2009,75+ years,12573
2010,15-24 years,10521
2010,25-34 years,16576
2010,35-54 years,40325
2010,5-14 years,478
2010,55-74 years,28011
2010,75+ years,12446
2011,15-24 years,9947
2011,25-34 years,15706
2011,35-54 years,38451
2011,5-14 years,456
2011,55-74 years,27515
2011,75+ years,12656
2012,15-24 years,9181
2012,25-34 years,15353
2012,35-54 years,37128
2012,5-14 years,432
2012,55-74 years,27130
2012,75+ years,12943
2013,15-24 years,7686
2013,25-34 years,14006
2013,35-54 years,34455
2013,5-14 years,381
2013,55-74 years,25875
2013,75+ years,12175
2014,15-24 years,7842
2014,25-34 years,14736
2014,35-54 years,35364
2014,5-14 years,387
2014,55-74 years,26885
2014,75+ years,13452
2015,15-24 years,6354
2015,25-34 years,12574
2015,35-54 years,28816
2015,5-14 years,372
2015,55-74 years,22602
2015,75+ years,11118
